ID,日付,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス数字,1等口数,2等口数,3等口数,4等口数,5等口数,1等金額,2等金額,3等金額,4等金額,5等金額,キャリーオーバー,セット球
1,2000/10/5,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,A
2,2000/10/12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,G
3,2000/10/19,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,C
4,2000/10/26,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,H
5,2000/11/2,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,F
6,2000/11/9,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,I
7,2000/11/16,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,E
8,2000/11/23,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,B
9,2000/11/30,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,C
10,2000/12/7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,J
11,2000/12/14,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,D
12,2000/12/21,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,E
13,2000/12/28,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,H
14,2001/1/4,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,F
15,2001/1/11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,I
16,2001/1/18,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,A
17,2001/1/25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,G
18,2001/2/1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,H
19,2001/2/8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,B
20,2001/2/15,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,D
21,2001/2/22,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,C
22,2001/3/1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,J
23,2001/3/8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,G
24,2001/3/15,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,C
25,2001/3/22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,E
26,2001/3/29,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,G
27,2001/4/5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,A
28,2001/4/12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,F
29,2001/4/19,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,I
30,2001/4/26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,B
31,2001/5/3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,J
32,2001/5/10,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,H
33,2001/5/17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,C
34,2001/5/24,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,D
35,2001/5/31,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,E
36,2001/6/7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,A
37,2001/6/14,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,G
38,2001/6/21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,F
39,2001/6/28,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,C
40,2001/7/5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,H
41,2001/7/12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,I
42,2001/7/19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,H
43,2001/7/26,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,B
44,2001/8/2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,D
45,2001/8/9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,J
46,2001/8/16,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,A
47,2001/8/23,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,F
48,2001/8/30,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,J
49,2001/9/6,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,H
50,2001/9/13,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,G
51,2001/9/20,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,F
52,2001/9/27,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,I
53,2001/10/4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,C
54,2001/10/11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,A
55,2001/10/18,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,B
56,2001/10/25,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,D
57,2001/11/1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,E
58,2001/11/8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,H
59,2001/11/15,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,J
60,2001/11/22,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,F
61,2001/11/29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,A
62,2001/12/6,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,G
63,2001/12/13,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,C
64,2001/12/20,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,J
65,2001/12/27,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,I
66,2002/1/10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,A
67,2002/1/17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,B
68,2002/1/24,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,D
69,2002/1/31,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,J
70,2002/2/7,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,E
71,2002/2/14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,C
72,2002/2/21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,H
73,2002/2/28,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,A
74,2002/3/7,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,F
75,2002/3/14,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,B
76,2002/3/21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,F
77,2002/3/28,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,I
78,2002/4/4,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,H
79,2002/4/11,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,G
80,2002/4/18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,A
81,2002/4/25,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,J
82,2002/5/2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,E
83,2002/5/9,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,F
84,2002/5/16,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,D
85,2002/5/23,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,I
86,2002/5/30,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,A
87,2002/6/6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,C
88,2002/6/13,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,F
89,2002/6/20,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,H
90,2002/6/27,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,B
91,2002/7/4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,E
92,2002/7/11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,H
93,2002/7/18,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,C
94,2002/7/25,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,B
95,2002/8/1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,F
96,2002/8/8,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,C
97,2002/8/15,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,E
98,2002/8/22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,A
99,2002/8/29,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,F
100,2002/9/5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,J
101,2002/9/12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,A
102,2002/9/19,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,D
103,2002/9/26,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,B
104,2002/10/3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,G
105,2002/10/10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,E
106,2002/10/17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,C
107,2002/10/24,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,I
108,2002/10/31,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,D
109,2002/11/7,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,A
110,2002/11/14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,E
111,2002/11/21,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,H
112,2002/11/28,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,D
113,2002/12/5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,B
114,2002/12/12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,H
115,2002/12/19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,E
116,2002/12/26,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,J
117,2003/1/9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,F
118,2003/1/16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,D
119,2003/1/23,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,H
120,2003/1/30,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,C
121,2003/2/6,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,E
122,2003/2/13,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,B
123,2003/2/20,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,G
124,2003/2/27,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,C
125,2003/3/6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,I
126,2003/3/13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,A
127,2003/3/20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,F
128,2003/3/27,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,D
129,2003/4/3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,G
130,2003/4/10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,B
131,2003/4/17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,H
132,2003/4/24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A
133,2003/5/1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,C
134,2003/5/8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,E
135,2003/5/15,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,I
136,2003/5/22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,F
137,2003/5/29,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,J
138,2003/6/5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,B
139,2003/6/12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,D
140,2003/6/19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,H
141,2003/6/26,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,F
142,2003/7/3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,G
143,2003/7/10,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,A
144,2003/7/17,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,G
145,2003/7/24,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,I
146,2003/7/31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,A
147,2003/8/7,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,E
148,2003/8/14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,C
149,2003/8/21,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,H
150,2003/8/28,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,J
151,2003/9/4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,B
152,2003/9/11,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,A
153,2003/9/18,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,E
154,2003/9/25,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,F
155,2003/10/2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,G
156,2003/10/9,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,B
157,2003/10/16,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,D
158,2003/10/23,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,H
159,2003/10/30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,I
160,2003/11/6,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,C
161,2003/11/13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,J
162,2003/11/20,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,A
163,2003/11/27,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,E
164,2003/12/4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,G
165,2003/12/11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,I
166,2003/12/18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,H
167,2003/12/25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,D
168,2004/1/8,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,B
169,2004/1/15,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,F
170,2004/1/22,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,C
171,2004/1/29,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,A
172,2004/2/5,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,J
173,2004/2/12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,E
174,2004/2/19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,F
